title,body,is_active
Crossover,"Minimally displaced Zone III fracture of sacrum, init",true
Life is a Miracle (Zivot je cudo),"Inj flexor musc/fasc/tend l mid finger at forarm lv, sequela",true
Cemetery Man (Dellamorte Dellamore),"Puncture wound w foreign body of left shoulder, subs encntr",true
Waiting...,"Inhalation of dry ice, sequela",true
Austenland,"Amyloid pterygium of eye, bilateral",true
Cloud 9,"Jump/div from boat striking bottom causing drown, init",false
Hideaway,Female with more than three X chromosomes,false
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"War op involving oth explosn and fragmt, civilian, sequela",false
Intimacy,Mitochondrial metabolism disorders,true
"Ceremony, The (Gishiki)",Family history of diseases of the ms sys and connective tiss,false
Phase IV,"Unspecified trochanteric fracture of right femur, sequela",true
Breakfast on Pluto,"Sltr-haris Type II physl fx upr end humer, unsp arm, 7thP",true
Justin Bieber: Never Say Never,"Milt op w explosn of sea-based artlry shell, milt, subs",true
James Dean Remembered,"Abscess of bursa, hand",false
"Incredible Burt Wonderstone, The","Prsn brd/alit a 3-whl mv injured in clsn w 2/3-whl mv, subs",true
Bellissima,"Lac w/o fb of right lesser toe(s) w damage to nail, subs",false
Dry Summer (Susuz yaz) (Reflections),"Toxic effect of chlorine gas, intentional self-harm, subs",true
"Eye 2, The (Gin gwai 2)","Torus fracture of upper end of right ulna, init for clos fx",true
Death of a Cyclist (Muerte de un ciclista),Intraventricular hemorrhage due to birth injury,true
"Sword and the Dragon, The (Ilya Muromets)","Other superficial injuries of unspecified thumb, subs encntr",true
Rain or Shine,"Congenital kyphosis, thoracolumbar region",false
The Hornet's Nest,"Burn of unsp degree of right hand, unsp site, init encntr",false
Getting Any? (Minnâ-yatteruka!),Pedl cyc passenger injured in collision w 2/3-whl mv in traf,true
Playing the Victim (Izobrazhaya zhertvu),"Oth traum nondisp spondylolysis of third cervcal vert, sqla",false
Modris,"Toxic effect of unsp inorganic substance, undetermined, subs",true
"Razor's Edge, The","Unsp mtrcy rider inj in clsn w rail trn/veh nontraf, subs",false
Kaho Naa... Pyaar Hai,"Pedestrian w convey injured in collision w pedal cycle, unsp",true
"Girasoli, I (Sunflower)",Dislocation of other carpometacarpal joint of right hand,false
Three on a Weekend,"Complete traumatic amputation of right breast, init encntr",true
Point of Order,"Encntr for suprvsn of normal preg, unsp, first trimester",true
Unfaithfully Yours,Hereditary factor IX deficiency,false
"Hollow Crown, The","Unspecified superficial keratitis, bilateral",false
Bengazi,"Newborn affected by other medical procedures on mother, NEC",false
Mrs. Henderson Presents,"Capslr glaucoma w/pseudxf lens, bilateral, mild stage",true
Miss You Can Do It,"Otalgia, right ear",false
"Fast & Furious 6 (Fast and the Furious 6, The)","Unsp pedl cyclst inj in clsn w rail trn/veh in traf, init",false
Putty Hill,"Burn first deg mult left fingers (nail), not inc thumb, init",false
Guilty by Suspicion,"Oth fx unsp lower leg, subs for opn fx type I/2 w nonunion",true
Jack the Giant Slayer,"Nondisp fx of prox phalanx of finger, subs for fx w malunion",false
"Kiss, The",Disorders of carnitine metabolism,true
Expecting a Miracle,"Laceration with foreign body, left lower leg, sequela",false
KM 31: Kilometro 31,Person on outside of snowmobile injured nontraf,true
The Fearmakers,"Complete traumatic amp at elbow level, right arm, sequela",false
Marie-Jo and Her 2 Lovers (Marie-Jo et ses 2 amours),"Part traum amp at level betw knee and ankle, l low leg, sqla",false
Shakespeare High,Unspecified disorder of vestibular function,true
The Hire: Chosen,"Torus fx lower end of left radius, subs for fx w malunion",false
"Abbott and Costello Meet the Killer, Boris Karloff","Abrasion, unspecified hip, sequela",true
"Soloist, The","Open bite of unsp front wall of thrx w penet thor cav, subs",false
Wishmaster 3: Beyond the Gates of Hell,Unspecified complicated cataract,true
Kozara,"Bent bone of l rad, subs for opn fx type 3A/B/C w malunion",true
